Nome offerta,Categoria principale,Tipologia/Descrizione offerta,Prezzo base (€),Durata stimata,Pubblico target,Tema/Interessi,Partecipanti,Disponibilità,Unnamed: 9
Viaggio nell'antico egitto,Visita guidata,"Accompagnati da un egittologo, i partecipanti potranno scoprire i capolavori del Museo e gli aspetti più affascinanti della cultura egizia.",Ticket + 7,90 min,Tutti italiani,"Introduzione generale, Antico Egitto",Max 25 persone,,
Travelling in Ancient Egypt,Visita guidata,"The guided tour in English traces an overview of Egyptian culture, highlighting its most fascinating aspects attested by the masterpieces of the collection.",Ticket + 9,90 min,Stranieri (inglese),"Introduzione generale, Antico Egitto",Max 25 persone,,
Galleria della Scrittura,Visita guidata,"La nuova ""Galleria della Scrittura"" è un percorso immersivo di 1000 mq dedicato alla lingua egizia e ai suoi sistemi grafici (Geroglifico, Ieratico, Demotico). Attraverso papiri originali, video e grafiche interattive, i visitatori scoprono la cultura egizia tramite la scrittura: dalla politica alla religione, dalla vita quotidiana alla magia, passando per la figura dello scriba e i segreti dei segni geroglifici.",Ticket + 7,60 min,Tutti italiani,"Lingua e scrittura egizia, Cultura e vita quotidiana, Religione e rituali, Politica e amministrazione, Magia e medicina, Figura dello scriba, Papirologia e documenti antichi, Educazione e divulgazione",Max 16 persone,,
Chi vuol esser Faraone?,Visita guidata per Famiglie,"Il percorso di visita, ideale per famiglie con ragazzi tra i 5 e gli 11 anni è condotto in forma di quiz: l’egittologo sottopone ai partecipanti una serie di domande e alla luce delle risposte ricevute ha l’opportunità di svelare “in pillole” le curiosità e gli aspetti più affascinanti della cultura faraonica.",Ticket + 7,90 min,Famiglie (bambini 5-11),"Quiz, Gioco educativo, Curiosità Antico Egitto",Max 25 persone,,
Cappella Rupestre,Visita guidata Gratuita,"Grazie al sostegno di Gruppo Ferrovie dello Stato potrai intraprendere un viaggio di più di tremila anni, che parte dalla Nubia e arriva fino al Museo Egizio di Torino",Gratuita,40 min,Tutti,"Cultura nubiana, Archeologia, Storia antica, Doni diplomatici, Architettura, Educazione e divulgazione", Max 30 persone,Solo Domenica,
Materia. Forma del Tempo,Visita guidata,"Un nuovo percorso espositivo che, attraverso oltre 6000 reperti, racconta l'antica civiltà egizia tramite l'uso delle materie prime. Oggetti in legno, pietra, pigmenti e metalli svelano tecniche di lavorazione e criteri di scelta dei materiali, con il supporto di video e grafiche digitali che rendono il percorso accessibile a tutti.",Ticket + 7,90 min,Tutti,"Materiali e tecniche, Archeologia, Artigianato egizio, Tecnologia e ricerca, Vita quotidiana, Cultura materiale, Educazione e divulgazione",Max 25 persone,,indeciso? Torna da noi! 
"Geroglifici, che emozione!",Visita guidata per Famiglie,"Percorso tematico, disponibile nei weekend di maggio 2025, dedicato al fascino della scrittura geroglifica. Accompagnati da un egittologo, i partecipanti esplorano il significato nascosto dei segni, imparando a riconoscere nomi, formule e messaggi tramandati dagli antichi Egizi.",Ticket + 7,90 min,Famiglie ,"Scrittura geroglifica, Lingua e comunicazione, Archeologia, Cultura egizia, Educazione e divulgazione, Tradizione scritta",Max 25 persone,Weekend di Maggio ,
A casa di Kha,Visita guidata per Famiglie,"Disponibile nei weekend dall'8 al 30 marzo e dal 1° all'8 giugno 2025, questo percorso è pensato per famiglie con bambini tra i 5 e gli 11 anni. Attraverso il corredo funerario di Kha e Merit, si esplora la vita quotidiana nell'antico Egitto, evidenziando somiglianze con la nostra vita moderna tra lavoro, casa e famiglia",Ticket + 7,90 min,Famiglie,"Vita quotidiana, Famiglia e società, Archeologia, Oggetti e corredi funerari, Educazione e divulgazione, Bambini", Max 25 persone,"Weekend 8-30/03, 1-8/06",
Biglietto Museo Egizio,Visita autonoma,,Ticket,fino a 180 min,,,,,
Biglietto Intero,Visita autonoma,Ingresso al museo per visita libera,18,fino a 180 min,Tutti,Visita autonoma,Individuale,Sempre,
"Biglietto Ridotto 1 (Senior, Giornalisti, Accompagnatori disabili)",Visita autonoma,Ingresso al museo per visita libera,15,fino a 180 min,"Senior, Giornalisti, Accompagnatori disabili",Visita autonoma,Individuale,Sempre,
Biglietto Ridotto 2 (Studenti),Visita autonoma,Ingresso al museo per visita libera,3,fino a 180 min,Studenti,Visita autonoma,Individuale,Sempre,
Biglietto Ridotto Junior (6-14 anni),Visita autonoma,Ingresso al museo per visita libera,1,fino a 180 min,Bambini 6-14 anni,Visita autonoma,Individuale,Sempre,
Biglietto Famiglia (2 adulti + 2 minori),Visita autonoma,Ingresso al museo per visita libera,36,fino a 180 min,Famiglie,Visita autonoma,Fino a 4 persone,Sempre,
Visita privata 'Viaggio nell'antico Egitto',Visita guidata privata,"Visita privata con guida dedicata, tema 'Viaggio nell'antico Egitto'",Biglietto + variabile (€),90 min,"Gruppi privati, Famiglie, Coppie",Introduzione generale,Max 6 persone,Su prenotazione,
Visita privata 'Materia. Forma del Tempo',Visita guidata privata,"Visita privata con guida dedicata, tema 'Materia. Forma del Tempo'",Biglietto + variabile (€),90 min,"Gruppi privati, Famiglie","Materiali e tecniche, Archeologia",Max 6 persone,Su prenotazione,
Visita privata 'Galleria della Scrittura',Visita guidata privata,"Visita privata con guida dedicata, tema 'Galleria della Scrittura'",Biglietto + variabile (€),60 min,"Gruppi privati, Famiglie","Scrittura, Vita quotidiana",Max 6 persone,Su prenotazione,
Biglietto 'Sunset/Ultima ora',Biglietto speciale (visita autonoma),"Ingresso l'ultima ora prima della chiusura, esperienza al tramonto",Variabile (€),1 ora,"Coppie, Lavoratori, Torinesi, Social addicted","Esperienza unica, Sunset, Galleria dei Re",Individuale,Ultima ora disponibile (es. 17/17:30),
Carnet 3 Ingressi Flessibili,Biglietto speciale (visita autonoma),Valido per 3 ingressi in orari flessibili entro l'anno,Variabile (€),Variabile,"Piemontesi, Amanti del museo, Chi vuole tornare più volte",Cultura egizia approfondita,Individuale o famiglia,Valido 12 mesi,
Biglietto '3 Giorni Egizi / 3 giorni sul Nilo',Biglietto speciale (visita autonoma),Consente ingressi multipli in 72 ore per turisti,Variabile (€),3 giorni,"Turisti, Viaggiatori slow","Esperienza completa, Viaggio sul Nilo",Individuale o coppia,72 ore consecutive,
Biglietto Esclusivo 'Senza Folla',Biglietto speciale (visita autonoma),Accesso esclusivo a piccoli gruppi fuori dagli orari di punta,Variabile (€),1-1.5 ore,"Appassionati, Visitatori premium, Persone in cerca di tranquillità","Esperienza privata, Visita rilassata",Max 10 persone,Mattina presto / sera,
